:START_ID(Pessoa),:END_ID(Pessoa),:TYPE,score,metodo
PES-BB95A8,PES-AEAAFB,POSSIVEL_MESMO_QUE,"98,59",fuzzy
PES-BB95A8,PES-AEAAFB,POSSIVEL_MESMO_QUE,"98,59",fuzzy
PES-906553,PES-D9B507,POSSIVEL_MESMO_QUE,"98,46",fuzzy
PES-21B00F,PES-FC1C8B,POSSIVEL_MESMO_QUE,"98,36",fuzzy
PES-62E3CA,PES-767F86,POSSIVEL_MESMO_QUE,"98,25",fuzzy
PES-62E3CA,PES-767F86,POSSIVEL_MESMO_QUE,"98,25",fuzzy
PES-346E8F,PES-341274,POSSIVEL_MESMO_QUE,"98,11",fuzzy
PES-3AFB58,PES-9F1007,POSSIVEL_MESMO_QUE,"98,11",fuzzy
PES-8F6C7E,PES-A6D00E,POSSIVEL_MESMO_QUE,"98,04",fuzzy
PES-FC88BC,PES-01E5B9,POSSIVEL_MESMO_QUE,"97,96",fuzzy
PES-FDF823,PES-2E1F87,POSSIVEL_MESMO_QUE,"97,96",fuzzy
PES-FDF823,PES-2E1F87,POSSIVEL_MESMO_QUE,"97,96",fuzzy
PES-2A17A2,PES-B1B853,POSSIVEL_MESMO_QUE,"97,96",fuzzy
PES-460999,PES-A6996E,POSSIVEL_MESMO_QUE,"97,96",fuzzy
PES-DC94AD,PES-3B1799,POSSIVEL_MESMO_QUE,"97,87",fuzzy
PES-5DEDC0,PES-3B1799,POSSIVEL_MESMO_QUE,"97,87",fuzzy
PES-C3A351,PES-44D2DD,POSSIVEL_MESMO_QUE,"97,87",fuzzy
PES-F910FD,PES-0C3DBD,POSSIVEL_MESMO_QUE,"97,78",fuzzy
PES-A25E25,PES-8EE150,POSSIVEL_MESMO_QUE,"97,67",fuzzy
PES-A25E25,PES-8EE150,POSSIVEL_MESMO_QUE,"97,67",fuzzy
PES-2CDB4B,PES-FC8718,POSSIVEL_MESMO_QUE,"97,56",fuzzy
PES-55D9D8,PES-B2020A,POSSIVEL_MESMO_QUE,"97,56",fuzzy
PES-DB0900,PES-3C3EC1,POSSIVEL_MESMO_QUE,"97,56",fuzzy
PES-23C1B7,PES-D9EB8A,POSSIVEL_MESMO_QUE,"97,22",fuzzy
PES-DD9045,PES-835AC5,POSSIVEL_MESMO_QUE,"97,22",fuzzy
PES-23C1B7,PES-D9EB8A,POSSIVEL_MESMO_QUE,"97,22",fuzzy
PES-45D611,PES-368D77,POSSIVEL_MESMO_QUE,"97,22",fuzzy
PES-772676,PES-60B3B5,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-6835A0,PES-F5D323,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-E0DC13,PES-D7C136,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-E0DC13,PES-D7C136,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-201C61,PES-8948CE,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-47E325,PES-AE3DE2,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-59C06C,PES-864010,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-31FD6C,PES-242312,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-6835A0,PES-F5D323,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-59C06C,PES-864010,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-A123D0,PES-0712C2,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-A123D0,PES-0712C2,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-F13182,PES-12AD34,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-EB55BE,PES-3B79BA,POSSIVEL_MESMO_QUE,"97,06",fuzzy
PES-977B36,PES-E7E5E6,POSSIVEL_MESMO_QUE,"96,97",fuzzy
